read_index,basename,mean_mapq,median_mapq,n_chromosomes,order,n_bins,read_length_bp,genes,n_genes
9,batch03,24.75,19.0,1,4,3,5261,Myo16;Shcbp1,2
32,batch04,40.333333333333336,60.0,1,3,3,4715,Csmd1,1
355,batch01,52.42857142857143,60.0,1,7,2,4972,Ermard;Fam120b;Gm51425,3
517,batch04,40.166666666666664,60.0,2,6,3,3263,Gm45745;5830408C22Rik,2
530,batch01,26.285714285714285,35.0,2,7,6,4542,Skint5;Csmd1;Gm7706;2610005L07Rik,4
619,batch02,34.22222222222222,52.0,3,9,5,4560,Trim24;D630045J12Rik,2
622,batch01,50.8,60.0,1,5,3,3236,Zcchc14;Foxc2;1700011L22Rik,3
656,batch03,56.0,60.0,1,3,2,4050,Tyw3;Bcar3,2
754,batch01,44.6,60.0,3,10,4,5854,Maml3;Mecom;Nr3c2;Mecomos,4
865,batch04,50.75,60.0,1,4,2,3191,Fndc3b,1
903,batch03,36.5,49.5,2,6,3,2939,Il12b;Gm13166;Gm12153,3
981,batch03,60.0,60.0,1,3,2,3161,Mgam2-ps;Tmem178b,2
984,batch03,54.125,60.0,3,8,3,4183,Ccdc3;Potefam3f;Snx29,3
1143,batch04,36.2,60.0,1,5,2,3561,,0
1196,batch03,40.333333333333336,60.0,2,3,3,2980,Farsa;Atg4a;Acsl1,3
1217,batch01,59.0,60.0,1,9,3,5813,Vat1l;Wwox;Crispld2;Cdh13,4
1302,batch04,60.0,60.0,1,6,4,3840,Klhl2;Cdh13,2
1304,batch03,41.0,41.0,1,2,2,2470,Sh3rf1,1
1399,batch04,36.714285714285715,60.0,2,7,3,3774,1700012C14Rik;Copg2,2
1420,batch04,30.0,33.0,1,10,6,6213,Gm21092,1
1447,batch04,59.6,60.0,1,5,2,3154,Aff4;Tefm,2
1489,batch04,44.666666666666664,60.0,1,3,3,2906,Zfhx3;Ces1g,2
1679,batch01,48.05882352941177,60.0,1,17,2,6544,Zfp612;4930555F03Rik,2
1701,batch04,60.0,60.0,1,2,2,2413,Adamts18,1
1713,batch01,39.666666666666664,60.0,2,12,3,6311,Hnrnpa2b1;Gm10069;Cbx3,3
1772,batch04,14.4,6.0,3,5,4,2851,Gm34096;Cldn34d;B930018H19Rik,3
2046,batch01,58.142857142857146,60.0,1,14,2,7271,Gse1;Zcchc14;Irf8;Foxf1;Fendrr;Gm26815,6
2131,batch03,43.666666666666664,60.0,1,3,2,2936,Gm54515;Slco1a6,2
2212,batch04,60.0,60.0,1,5,2,3180,Cdc42se2,1
2227,batch04,52.388888888888886,60.0,1,18,3,6129,Sh3rf1;Palld,2
2313,batch04,49.5,60.0,2,6,3,3202,,0
2371,batch04,40.111111111111114,60.0,1,9,5,4850,Nsd3;Chrnb3;Defb33,3
2405,batch01,44.5,60.0,2,6,2,2825,Rsbn1;Trim33,2
2429,batch04,60.0,60.0,1,3,2,2638,Wwox,1
2559,batch01,60.0,60.0,1,2,2,2363,,0
2694,batch03,40.333333333333336,60.0,2,3,2,2580,Atg7;Vgll4,2
2741,batch01,60.0,60.0,1,2,2,2377,Atg7;Syn2,2
2766,batch03,60.0,60.0,1,2,2,2356,St6galnac3,1
2900,batch04,0.0,0.0,1,2,2,2067,Gm4073;Vmn2r47,2
2939,batch01,1.0,1.0,2,2,2,2402,,0
3145,batch01,47.25,60.0,1,4,2,2349,Fgfr1;Nsd3;Ccdc7a,3
3278,batch04,60.0,60.0,1,2,2,2713,Adamts18,1
3285,batch04,60.0,60.0,1,5,3,2628,Ptpn22,1
3433,batch04,60.0,60.0,1,3,3,2839,Tenm3;Zmat4,2
3470,batch01,60.0,60.0,1,2,2,2606,Nkx2-5,1
3603,batch04,42.57142857142857,60.0,2,14,2,5673,Kdm7a;Tmem132b;Gm49041,3
3630,batch02,60.0,60.0,1,2,2,2068,Irag2,1
3670,batch03,50.75,60.0,1,8,4,4894,Slc10a7;Gm45431;Snx25;Lrp2bp,4
3746,batch04,53.5,60.0,1,6,4,3020,Mbd4;4930540M05Rik,2
3811,batch04,45.666666666666664,60.0,1,9,3,4376,1700030F04Rik;Tulp3,2
3940,batch03,60.0,60.0,2,3,2,3003,Gm13844;Mkln1,2
4116,batch04,60.0,60.0,1,6,3,4700,Agpat5;Gm31135;Stox2,3
4181,batch01,51.0,60.0,1,8,3,4071,Gse1;A330074K22Rik;Gm26815,3
4224,batch01,60.0,60.0,1,5,2,3561,Hnf4g,1
4229,batch04,42.833333333333336,52.0,2,6,5,2862,Plcg2;Palld,2
4377,batch04,60.0,60.0,1,4,3,2941,Vat1l,1
4570,batch03,49.2,60.0,2,5,2,2912,,0
4650,batch04,48.666666666666664,60.0,1,3,2,2268,Tbxas1;Exoc4,2
4688,batch01,55.0,60.0,1,4,3,3595,Pard3;Tomm20;Psd3,3
4696,batch04,47.2,58.0,3,5,4,2660,Usp33,1
4877,batch04,47.22222222222222,60.0,3,9,5,4724,Dennd5b;Tango6;Stk38l,3
5355,batch04,60.0,60.0,1,2,2,2483,Kbtbd12;Gm20696,2
5400,batch04,50.583333333333336,60.0,1,12,3,5058,Myo16;Nrg1,2
5407,batch01,60.0,60.0,2,8,4,4254,2700099C18Rik;Nfat5;Zfhx3,3
5562,batch03,40.333333333333336,60.0,1,3,2,2054,Galns;Cbfa2t3,2
5664,batch02,44.55555555555556,58.0,2,9,2,3545,,0
5675,batch04,26.0,22.0,1,4,2,2911,Dynlt2a3;Dynlt2a1;Zfp960,3
5726,batch01,60.0,60.0,1,3,3,3426,Wwtr1,1
5961,batch04,60.0,60.0,1,6,2,4016,Natd1,1
6057,batch03,60.0,60.0,1,2,2,2811,Zfp319,1
6116,batch03,60.0,60.0,1,2,2,1909,Sgms2;Kcna2,2
6211,batch04,60.0,60.0,1,4,3,2928,,0
6353,batch04,59.0,59.0,1,2,2,2488,Evi5l;Kat6a,2
6358,batch03,50.166666666666664,60.0,2,6,3,3584,Glra3;Wdr17;Gpm6a,3
6411,batch01,57.166666666666664,60.0,1,6,3,3215,Dennd5b;Usp5;Cd4;Bicd1,4
6460,batch01,60.0,60.0,2,6,3,3900,Eri1;Mfhas1;Gm35520;Cldn23,4
6484,batch03,56.23076923076923,60.0,3,13,6,5492,Nup62cl;Gm9946;Rnf212;Gm15046;Morc4,5
6573,batch04,60.0,60.0,1,2,2,1903,1700020L24Rik,1
6588,batch04,60.0,60.0,1,6,2,3391,Braf;Dera,2
6647,batch04,54.0,60.0,1,3,2,2920,Sowaha;Adamts2,2
6843,batch01,48.0,60.0,1,5,3,3522,Potefam3b;Csmd1;Psd3,3
6958,batch01,35.5,35.5,2,2,2,3582,Nop53,1
7078,batch04,13.0,1.0,2,9,4,3456,Potefam3a;Dera;Sfrp1,3
7090,batch04,32.25,31.0,2,8,5,3901,Potefam3f;Speer4a,2
7110,batch01,43.0,54.0,1,5,4,2710,Angpt2;Stox2,2
7118,batch02,37.5,43.0,2,4,4,2274,Psd3,1
7164,batch01,33.75,34.5,1,4,2,2234,Mcph1,1
7251,batch03,60.0,60.0,1,4,3,2556,Marchf1;Smim31,2
7471,batch04,60.0,60.0,1,2,2,1943,Prmt8;Tead4,2
7705,batch04,26.0,1.0,3,7,7,3069,Sh2d4a;Gm48166,2
7712,batch04,54.81818181818182,60.0,1,11,3,4169,Foxp1;Magi1,2
7742,batch04,60.0,60.0,1,4,2,3056,Tnfsf13b;Adam24;Mtmr7,3
7818,batch03,41.5,47.5,2,12,2,5325,Mad1l1;Amz1;Ttyh3;Chst12,4
7890,batch03,49.333333333333336,60.0,3,6,4,2941,Rerg,1
7964,batch01,45.333333333333336,60.0,1,3,2,3450,Hook3,1
8041,batch01,44.25,52.5,2,4,3,1996,Wwox,1
8186,batch03,60.0,60.0,2,2,2,1802,Magi3,1
8252,batch03,60.0,60.0,1,2,2,1930,Ccl25;Gm31223,2
8281,batch01,59.0,60.0,1,5,2,2407,Ccdc91,1
8353,batch01,31.88888888888889,45.0,2,9,5,4127,Snx25;Potefam3a;Csmd1,3
8355,batch01,60.0,60.0,2,6,4,4389,Csmd1;Gm45901,2
8421,batch01,30.25,30.5,2,4,2,2246,Vmn2r-ps158;Adam9;Vmn2r63,3
8491,batch04,60.0,60.0,1,2,2,1833,,0
8495,batch04,55.714285714285715,60.0,2,14,2,5638,Pogz;Creb3l2;Cgn;Trim24;Tuft1,5
8500,batch04,44.25,54.5,2,4,3,2148,Gipc1;Eps8,2
8512,batch04,50.666666666666664,60.0,1,3,2,2198,Marchf1,1
8515,batch04,60.0,60.0,1,4,3,4121,Kcmf1;Plekha5;Bhlhe41,3
8609,batch01,60.0,60.0,2,2,2,2052,,0
8664,batch04,51.111111111111114,60.0,1,9,5,5062,Znrf1;4921524J17Rik;Vps35;Gm26815,4
8706,batch01,52.875,60.0,1,8,2,3276,Zfhx3,1
8710,batch02,60.0,60.0,1,4,3,3135,Gm11033;Hydin,2
8713,batch01,46.5,60.0,2,10,5,5388,Gm45469;Ppp1r3b;Lsm6;Marchf1;Gm46069,5
8771,batch02,56.5,60.0,1,12,4,5435,1700030F04Rik;Syn2;Cxcl12;Rassf4,4
8801,batch03,60.0,60.0,1,3,2,2135,Phlpp2;Zfhx3,2
9009,batch04,21.4,3.5,4,10,5,3800,Chl1,1
9082,batch04,60.0,60.0,1,4,2,2638,,0
