read_index,basename,mean_mapq,median_mapq,n_chromosomes,order,n_bins,read_length_bp,genes,n_genes
195,batch01,49.0625,60.0,3,16,6,8652,Gm14704,1
262,batch03,40.75,51.5,1,4,4,4111,,0
413,batch01,60.0,60.0,2,2,2,2812,A830082K12Rik,1
601,batch04,20.142857142857142,0.0,1,7,6,4031,Tenm1;Gm7437,2
805,batch01,55.6,60.0,1,5,2,3116,,0
816,batch04,30.0,30.0,2,2,2,2390,,0
892,batch01,2.75,0.0,1,4,4,2863,,0
1124,batch04,56.666666666666664,60.0,2,6,3,3424,,0
1174,batch04,57.8,60.0,1,5,2,3392,,0
1301,batch01,60.0,60.0,1,3,2,2504,4932441J04Rik,1
1321,batch04,58.54545454545455,60.0,2,11,6,5554,Ar,1
1623,batch04,0.3333333333333333,0.0,1,3,2,4340,,0
1855,batch04,53.666666666666664,60.0,1,3,2,2717,,0
2020,batch04,30.5,30.5,2,2,2,2160,,0
2138,batch04,42.666666666666664,60.0,1,3,2,2287,,0
2243,batch01,60.0,60.0,1,2,2,2922,,0
2438,batch01,60.0,60.0,1,7,3,3743,Pcdh17,1
2459,batch02,48.8,60.0,1,5,2,5732,Pcdh17,1
2619,batch01,15.625,1.0,3,16,4,5260,,0
2907,batch04,60.0,60.0,1,2,2,2091,,0
3150,batch04,48.2,60.0,2,5,3,2460,B230209E15Rik,1
3222,batch03,15.0,0.0,1,4,2,2551,,0
3690,batch03,60.0,60.0,1,2,2,2448,Vmn2r105,1
3716,batch01,53.083333333333336,60.0,1,12,3,4416,Ptprd,1
3813,batch04,38.833333333333336,51.5,2,6,3,3551,,0
3837,batch01,51.25,60.0,1,4,3,2606,,0
3848,batch04,60.0,60.0,1,4,4,2708,,0
4535,batch03,21.0,5.0,1,5,4,2820,,0
4871,batch01,13.333333333333334,4.5,2,6,5,3772,,0
4952,batch03,60.0,60.0,1,2,2,2080,Alcam,1
5033,batch04,60.0,60.0,1,3,2,1913,Csmd3,1
5596,batch01,41.333333333333336,60.0,1,3,2,3733,,0
5782,batch03,59.0,59.0,1,2,2,1987,,0
5800,batch01,44.25,56.0,1,12,3,4387,,0
6042,batch04,60.0,60.0,1,3,2,2733,Cckbr,1
6143,batch03,45.25,60.0,2,4,3,3603,,0
6415,batch04,51.25,60.0,1,4,2,3087,,0
6463,batch02,60.0,60.0,1,6,3,3278,Serpinb7;Dsel,2
6560,batch04,8.785714285714286,0.0,3,14,7,5171,Lonrf3,1
7114,batch03,57.25,60.0,1,4,2,2492,,0
7449,batch04,51.25,60.0,1,8,2,3137,Tecrl,1
7803,batch04,44.4,60.0,1,5,3,3198,,0
8168,batch01,44.9375,60.0,1,16,2,6107,Lrrc4c,1
